id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,number_of_reviews_ltm,type,stay_category
731742671080196782,Khlong Toei,13.724522416691,100.56492794305086,Entire home/apt,3200,7,1,1,booked,medium-term
726961945340247543,Sathon,13.70944,100.53378,Entire home/apt,4000,28,0,0,not booked,long-term
731983839123423706,Bang Kapi,13.75035,100.60773,Private room,1700,1,0,0,not booked,short-term
726990521738992577,Khlong Toei,13.71397,100.58606,Entire home/apt,2393,1,2,2,booked,short-term
732142232866567306,Bang Khen,13.88977,100.60823,Private room,550,1,0,0,not booked,short-term
732143976571041781,Sai Mai,13.9048022,100.6218445,Private room,590,1,0,0,not booked,short-term
732150643048779765,Vadhana,13.745166874979974,100.5574665423279,Private room,2000,1,5,5,booked,short-term
726999979321565793,Min Buri,13.81476,100.69935,Entire home/apt,1350,2,0,0,not booked,short-term
732158949604147689,Khlong Toei,13.72553,100.56256,Entire home/apt,1173,2,3,3,booked,short-term
734432587620248046,Vadhana,13.71419,100.5989,Private room,1500,1,0,0,not booked,short-term
734479114510469649,Ratchathewi,13.75243,100.52991,Private room,2000,1,3,3,booked,short-term
727179198031873152,Bang Phlat,13.7889383,100.5035996,Entire home/apt,883,15,0,0,not booked,long-term
727187440589106913,Khlong Toei,13.72398,100.56605,Entire home/apt,2397,2,5,5,booked,short-term
734566094253574486,Sathon,13.7193621,100.5311336,Entire home/apt,3636,2,0,0,not booked,short-term
736069708669780345,Ratchathewi,13.75498,100.5634,Entire home/apt,2314,1,0,0,not booked,short-term
734621093596270530,Phaya Thai,13.76763,100.54061,Private room,1200,2,5,5,booked,short-term
736474535468664991,Din Daeng,13.76302,100.56137,Entire home/apt,666,120,1,1,booked,long-term
732160986124650722,Lat Krabang,13.752634500555867,100.72014598615203,Private room,999,1,0,0,not booked,short-term
736492397038473710,Huai Khwang,13.75571,100.56942,Entire home/apt,969,60,1,1,booked,long-term
732171224039158895,Vadhana,13.74513039942999,100.55744508465578,Private room,1657,1,11,11,booked,short-term
736558915005781356,Sathon,13.7107766,100.5198909,Entire home/apt,1244,1,0,0,not booked,short-term
732219557994731070,Ratchathewi,13.74982,100.55745,Entire home/apt,3500,7,4,4,booked,medium-term
736572670939348740,Ratchathewi,13.7503317,100.5555379,Entire home/apt,2527,3,3,3,booked,short-term
732267976924444991,Ratchathewi,13.75303,100.56293,Entire home/apt,1327,7,0,0,not booked,medium-term
736617512297587606,Huai Khwang,13.74568,100.58295,Entire home/apt,1357,7,1,1,booked,medium-term
740328931532427403,Huai Khwang,13.75433,100.56946,Entire home/apt,2380,28,1,1,booked,long-term
740330293674765993,Huai Khwang,13.75439,100.5695,Entire home/apt,2380,28,1,1,booked,long-term
736618636050639380,Khlong Toei,13.7348564,100.5579603,Entire home/apt,1729,1,1,1,booked,short-term
740344294859880919,Vadhana,13.74479,100.55769,Entire home/apt,2271,2,4,4,booked,short-term
740351822923089069,Vadhana,13.74395,100.55587,Entire home/apt,2315,2,5,5,booked,short-term
736644113202903101,Pra Wet,13.69125,100.64488,Private room,650,15,1,1,booked,long-term
740358466040474182,Vadhana,13.74368,100.55724,Entire home/apt,2286,2,5,5,booked,short-term
736703570847651608,Phra Nakhon,13.7601,100.4958,Private room,990,1,9,9,booked,short-term
740365298759250369,Khlong Toei,13.73624,100.55172,Private room,11000,1,1,1,booked,short-term
740377956223767614,Parthum Wan,13.73584,100.54972,Private room,12250,1,0,0,not booked,short-term
736755999135848604,Vadhana,13.739020643610376,100.58557894080876,Private room,1950,1,0,0,not booked,short-term
740391191012335714,Parthum Wan,13.73571,100.55011,Private room,5129,1,0,0,not booked,short-term
740399475140271533,Parthum Wan,13.73756,100.55016,Private room,5657,1,0,0,not booked,short-term
740422498457223784,Khlong Toei,13.73478,100.55685,Entire home/apt,5857,1,0,0,not booked,short-term
736861593669872653,Ratchathewi,13.7541882,100.5632693,Entire home/apt,1239,15,4,4,booked,long-term
737012975339826829,Sathon,13.70938,100.51955,Entire home/apt,2561,5,0,0,not booked,medium-term
740445706210999445,Huai Khwang,13.75434,100.5771,Entire home/apt,1375,15,1,1,booked,long-term
737066292019794480,Chatu Chak,13.8053452,100.5783885,Entire home/apt,1000,7,0,0,not booked,medium-term
740471533082095304,Bang Rak,13.72159,100.52678,Entire home/apt,6848,6,0,0,not booked,medium-term
737138685726168823,Khlong Toei,13.73543,100.55904,Entire home/apt,1671,1,5,5,booked,short-term
740486789468727140,Khlong Toei,13.73421,100.55859,Entire home/apt,6529,1,0,0,not booked,short-term
740491593116818892,Khlong Toei,13.73349,100.55736,Entire home/apt,8143,1,1,1,booked,short-term
740493307688714449,Vadhana,13.74219,100.55692,Entire home/apt,1686,5,2,2,booked,medium-term
737143779851416454,Bang Sue,13.81906473213961,100.53664069622756,Private room,480,3,3,3,booked,short-term
740500675232020817,Khlong Toei,13.73398,100.55701,Private room,7286,1,0,0,not booked,short-term
737235167325031617,Parthum Wan,13.74989,100.51993,Private room,1414,1,0,0,not booked,short-term
740573290691773993,Sathon,13.72032,100.52694,Entire home/apt,7485,6,2,2,booked,medium-term
740580879837044772,Bang Rak,13.72211,100.52492,Entire home/apt,8717,6,2,2,booked,medium-term
737267689479873270,Phra Nakhon,13.7599493,100.4928178,Shared room,388,1,1,1,booked,short-term
734705211051148743,Khlong Toei,13.7162314640401,100.57484675198792,Private room,2029,7,5,5,booked,medium-term
737286534424707231,Huai Khwang,13.75584,100.56819,Private room,2000,5,1,1,booked,medium-term
734724561991161424,Khlong San,13.7225,100.50913,Entire home/apt,1789,28,0,0,not booked,long-term
737298955453759382,Phra Nakhon,13.7612,100.49342,Private room,650,1,2,2,booked,short-term
735020901032466661,Phra Khanong,13.69953,100.60132,Private room,685,3,2,2,booked,short-term
737303174766454307,Vadhana,13.74659,100.5522,Entire home/apt,967,1,9,9,booked,short-term
735078300082412001,Vadhana,13.73416,100.58221,Entire home/apt,3199,3,3,3,booked,short-term
737304241187219763,Bang Phlat,13.7889383,100.5035996,Entire home/apt,883,15,1,1,booked,long-term
735121182922470674,Khlong Toei,13.723233,100.5611192,Entire home/apt,1919,1,3,3,booked,short-term
737315858877175650,Chatu Chak,13.824943253232515,100.56817807406618,Private room,1000,30,1,1,booked,long-term
735147061860263986,Vadhana,13.7208447,100.5858786,Private room,3557,1,0,0,not booked,short-term
735151832351736868,Huai Khwang,13.7563,100.56658,Entire home/apt,1375,15,1,1,booked,long-term
737321776435238669,Vadhana,13.72496,100.57879,Entire home/apt,12686,1,10,10,booked,short-term
735157461506662698,Bang Khen,13.86823151247006,100.58941952945668,Private room,520,1,0,0,not booked,short-term
735169789795739795,Khlong Toei,13.723233,100.5611192,Entire home/apt,1919,1,3,3,booked,short-term
735173911391649446,Huai Khwang,13.75706,100.56915,Entire home/apt,1991,1,3,3,booked,short-term
737326747983185755,Vadhana,13.7333984,100.5670165,Private room,3456,1,0,0,not booked,short-term
735193124129321429,Huai Khwang,13.75572322630787,100.56752298182006,Entire home/apt,1375,15,5,5,booked,long-term
735204670115793287,Phasi Charoen,13.696052264867744,100.4324408993125,Private room,351,1,3,3,booked,short-term
735207676567232289,Huai Khwang,13.75475,100.56647,Entire home/apt,1375,15,2,2,booked,long-term
735210122363328134,Khlong Toei,13.7348564,100.5579603,Entire home/apt,1863,1,8,8,booked,short-term
735210994355289392,Huai Khwang,13.75463,100.5852,Entire home/apt,1375,15,2,2,booked,long-term
735211117924879449,Huai Khwang,13.75453,100.56861,Entire home/apt,1375,15,0,0,not booked,long-term
735220343662424750,Huai Khwang,13.75463,100.56833,Entire home/apt,1375,15,3,3,booked,long-term
735229482125591556,Huai Khwang,13.75586,100.56838,Entire home/apt,1375,15,1,1,booked,long-term
735232887003531689,Bang Phlat,13.77334,100.48379,Entire home/apt,850,3,0,0,not booked,short-term
735236097943535169,Khlong Toei,13.7166686,100.5849674,Entire home/apt,2099,1,2,2,booked,short-term
735248979481365445,Khlong Toei,13.71926,100.57523,Entire home/apt,1581,7,7,7,booked,medium-term
735251817177288443,Khlong Toei,13.71874,100.57591,Entire home/apt,1581,7,2,2,booked,medium-term
735254049415872118,Khlong Toei,13.72007,100.5755,Entire home/apt,1581,3,2,2,booked,short-term
735257626974718148,Khlong Toei,13.72067,100.57613,Entire home/apt,1581,7,9,9,booked,medium-term
735304382734128277,Khlong Toei,13.72297,100.57277,Entire home/apt,1581,7,9,9,booked,medium-term
735320113093591079,Khlong Toei,13.72275,100.57273,Entire home/apt,1581,7,20,20,booked,medium-term
735347701187329719,Khlong Toei,13.739762670365485,100.55187370926213,Entire home/apt,1497,1,14,14,booked,short-term
735363016546656765,Huai Khwang,13.75469,100.56847,Entire home/apt,1375,15,1,1,booked,long-term
735363842769616410,Huai Khwang,13.75627,100.56818,Entire home/apt,1375,15,1,1,booked,long-term
735365199797829945,Huai Khwang,13.75657,100.56691,Entire home/apt,1375,15,6,6,booked,long-term
735381680000086719,Huai Khwang,13.75458,100.57712,Entire home/apt,1375,15,13,13,booked,long-term
735384082402424250,Huai Khwang,13.75332,100.58471,Entire home/apt,1375,15,2,2,booked,long-term
735384317188175387,Huai Khwang,13.75692,100.56801,Entire home/apt,1375,15,3,3,booked,long-term
735392542087347897,Huai Khwang,13.75539,100.56852,Entire home/apt,1375,15,3,3,booked,long-term
735401531319591253,Huai Khwang,13.75664,100.56775,Entire home/apt,1375,15,4,4,booked,long-term
735402221561589043,Huai Khwang,13.7553,100.56643,Entire home/apt,1375,15,3,3,booked,long-term
735403113233516455,Huai Khwang,13.75549,100.56661,Entire home/apt,1375,15,3,3,booked,long-term
735423390621612198,Bang Rak,13.7235,100.52319,Entire home/apt,4000,15,1,1,booked,long-term
735446330041884560,Khlong Toei,13.71686,100.57558,Entire home/apt,950,29,3,3,booked,long-term
